ジャンルid,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解の選択肢,解説文,ソースURL
1,社会人１年目の社会人にかからない税金は以下のうちどれ,住民税,所得税,健康保険料,厚生年金保険料,1,住民税は前年の所得をもとにして納める税金のため、前年の所得のない社会人１年目の場合は通常かかりません。ただし、就職前に課税所得がある場合や、合計所得が45万ある場合は税金がかかることがあります。,
2,サプライヤーへ送るメールの件名に最も適切なものを選んでください。,お願い申し上げます,次回の取引について,緊急の対応について,来週の打ち合わせについて,2,ビジネス文書としてのメールは、「件名」が簡潔で分かりやすいことが大切です。日本において、ビジネスメールの受信数は、1日平均34.30通と非常に多く、その中で1つ1つのメールの内容を全て読み込むことは非常に難しい状況です。相手がメールを開かなくても分かるよう、件名は本文の内容を簡潔に分かりやすく書きましょう。,
3,あなたは顧客サポート担当者です。電話で受けた問い合わせに対して、次のうちどれが最も適切な対応でしょうか？,問題解決のために、顧客に数日後に再度連絡する。,顧客の問題を理解し、即座に解決するための手順を提供する。,顧客に他社への移行を提案し、問題解決を放棄する。,問題を無視し、顧客を別の部署に転送する。,2,顧客の問題を理解し、即座に解決するための手順を提供する。,
4,「16時に行く」を謙譲語に変えると4つの内どれ？,16時に伺います。,16時に行きます。,16時に到着いたします。,16時にいらっしゃる。,1,「行きます」は丁寧語、「到着いたします」は到着するかなので行くではない、「いらっしゃる」は尊敬語になるので答えは1になる,
4,「17時に社長がいる」を丁寧語,17時に社長がいらっしゃる,17時に社長がおいでになる,17時に社長がおります,17時に社長がおられます,3,「いらっしゃる」は尊敬語、「おいでになる」は尊敬語、「おられます」謙譲語なので答えは3になる。,https://x.gd/vbLnM
4,「この資料を読む」を謙譲語に変えると4つの内どれ？,この資料をお読みになる,この資料を読みます,この資料を拝読する,この資料を読まれています。,3,「お読みになる」は尊敬語、「読みます」は丁寧語「読まれています」は尊敬語、なので答えは3になる。,
4,「この資料を考える」を尊敬語に変えると4つの内どれ？,この資料をお考えになる,この資料を拝察する,この資料を検討いたします,この資料を考えます,1,「拝察する」は謙譲語、「検討いたします」は謙譲語「考えます」は丁寧語、なので答えは1になる,
4,「会社」を尊敬語に変えると4つの内どれ？,貴社,お会社,株式会社,合同会社,1,「お会社」はそもそも存在しない単語、「株式会社」は別称、「合同会社」は、日本における会社形態の1つ,
4,「こちらを食べてください」を尊敬語に変えると4つの内どれ？,こちらを頂いてください。,こちらを頂戴してください。,こちらを食べてください。,こちらを召し上がってください。,4,「こちらを頂いてください。」は謙譲語、「こちらを頂戴してください。」は謙譲語、「こちらを食べてください。」は丁寧語、なので答えは4になる。,
4,「こちらに座ってください」はこの中からだと何語でしょうか？,謙譲語,尊敬語,丁寧語,私語,3,「謙譲語」は「謙」にはへりくだる、「譲」には相手に譲るという意味例「こちらにお掛けになってください。」「尊敬語」尊敬語の「尊」は身分が高い、「敬」は相手をうやまうという意味「私語」黙っているべき情況の中で（それにもかかわらず、小声やささやき声で）話をすること。例：「こちらにお掛けください。」,
